#dataset: GeoCSV 2.0
#delimiter: |
#field_unit: unitless|unitless|unitless|unitless|unitless|hertz|ISO_8601|ISO_8601
#field_type: string|string|string|string|string|float|datetime|datetime
Network|Station|Location|Channel|Quality|SampleRate|Earliest|Latest
2A|BBS05||HHE|M|100.0|2017-12-30T05:51:55.000000Z|2017-12-30T05:51:56.990000Z
2A|BBS05||HHE|M|100.0|2017-12-30T05:53:38.000000Z|2018-01-03T23:59:59.990000Z
2A|BBS05||HHE|M|100.0|2018-01-05T00:00:00.000000Z|2018-01-28T23:59:59.990000Z
2A|BBS05||HHE|M|100.0|2018-02-01T00:00:00.000000Z|2018-02-07T07:45:10.990000Z
2A|BBS05||HHE|M|100.0|2018-02-07T07:52:51.000000Z|2018-02-07T07:56:01.990000Z
2A|BBS05||HHE|M|100.0|2018-02-07T07:56:40.000000Z|2018-02-23T00:00:01.990000Z
2A|BBS05||HHE|M|100.0|2018-02-24T00:00:01.000000Z|2018-03-08T01:23:38.990000Z
2A|BBS05||HHN|M|100.0|2017-12-30T05:53:43.000000Z|2018-01-03T23:59:59.990000Z
2A|BBS05||HHN|M|100.0|2018-01-05T00:00:00.000000Z|2018-01-28T23:59:59.990000Z
2A|BBS05||HHN|M|100.0|2018-02-01T00:00:00.000000Z|2018-02-07T07:45:15.990000Z
2A|BBS05||HHN|M|100.0|2018-02-07T07:52:48.000000Z|2018-02-07T07:55:57.990000Z
2A|BBS05||HHN|M|100.0|2018-02-07T07:56:36.000000Z|2018-02-22T23:59:59.990000Z
2A|BBS05||HHN|M|100.0|2018-02-24T00:00:04.000000Z|2018-03-08T01:23:41.990000Z
2A|BBS05||HHZ|M|100.0|2017-12-30T05:51:55.000000Z|2017-12-30T05:51:56.990000Z
2A|BBS05||HHZ|M|100.0|2017-12-30T05:53:43.000000Z|2018-01-03T23:59:59.990000Z
2A|BBS05||HHZ|M|100.0|2018-01-05T00:00:00.000000Z|2018-01-28T23:59:59.990000Z
2A|BBS05||HHZ|M|100.0|2018-02-01T00:00:00.000000Z|2018-02-07T07:45:08.990000Z
2A|BBS05||HHZ|M|100.0|2018-02-07T07:52:54.000000Z|2018-02-07T07:55:59.990000Z
2A|BBS05||HHZ|M|100.0|2018-02-07T07:56:38.000000Z|2018-02-23T00:00:01.990000Z
2A|BBS05||HHZ|M|100.0|2018-02-24T00:00:03.000000Z|2018-03-08T01:23:44.990000Z
2A|BBS06||HHE|M|100.0|2017-12-30T08:20:33.000000Z|2017-12-30T08:25:58.990000Z
2A|BBS06||HHE|M|100.0|2017-12-30T08:26:08.000000Z|2018-01-03T23:59:59.990000Z
2A|BBS06||HHE|M|100.0|2018-01-05T00:00:00.000000Z|2018-01-28T23:59:59.990000Z
2A|BBS06||HHE|M|100.0|2018-02-01T00:00:00.000000Z|2018-02-07T06:08:01.990000Z
2A|BBS06||HHE|M|100.0|2018-02-07T06:08:57.000000Z|2018-02-07T06:13:56.990000Z
2A|BBS06||HHE|M|100.0|2018-02-07T06:14:51.000000Z|2018-02-07T06:18:42.990000Z
2A|BBS06||HHE|M|100.0|2018-02-07T06:24:03.000000Z|2018-02-07T06:27:58.990000Z
2A|BBS06||HHE|M|100.0|2018-02-07T06:28:02.000000Z|2018-02-12T22:00:49.990000Z
2A|BBS06||HHN|M|100.0|2017-12-30T08:20:33.000000Z|2017-12-30T08:25:56.990000Z
2A|BBS06||HHN|M|100.0|2017-12-30T08:26:06.000000Z|2018-01-03T23:59:59.990000Z
2A|BBS06||HHN|M|100.0|2018-01-05T00:00:00.000000Z|2018-01-28T23:59:59.990000Z
2A|BBS06||HHN|M|100.0|2018-02-01T00:00:00.000000Z|2018-02-07T06:07:59.990000Z
2A|BBS06||HHN|M|100.0|2018-02-07T06:09:05.000000Z|2018-02-07T06:13:55.990000Z
2A|BBS06||HHN|M|100.0|2018-02-07T06:14:51.000000Z|2018-02-07T06:18:40.990000Z
2A|BBS06||HHN|M|100.0|2018-02-07T06:23:59.000000Z|2018-02-07T06:27:58.990000Z
2A|BBS06||HHN|M|100.0|2018-02-07T06:28:02.000000Z|2018-02-12T22:00:46.990000Z
2A|BBS06||HHZ|M|100.0|2017-12-30T08:20:34.000000Z|2017-12-30T08:26:00.990000Z
2A|BBS06||HHZ|M|100.0|2017-12-30T08:26:10.000000Z|2018-01-03T23:59:59.990000Z
2A|BBS06||HHZ|M|100.0|2018-01-05T00:00:00.000000Z|2018-01-28T23:59:59.990000Z
2A|BBS06||HHZ|M|100.0|2018-02-01T00:00:00.000000Z|2018-02-07T06:08:03.990000Z
2A|BBS06||HHZ|M|100.0|2018-02-07T06:09:07.000000Z|2018-02-07T06:13:55.990000Z
2A|BBS06||HHZ|M|100.0|2018-02-07T06:14:51.000000Z|2018-02-07T06:18:37.990000Z
2A|BBS06||HHZ|M|100.0|2018-02-07T06:23:59.000000Z|2018-02-07T06:27:58.990000Z
2A|BBS06||HHZ|M|100.0|2018-02-07T06:28:02.000000Z|2018-02-12T22:00:48.990000Z
2A|BBS09||HHE|M|100.0|2018-01-05T06:06:43.000000Z|2018-01-22T11:12:29.990000Z
2A|BBS09||HHE|M|100.0|2018-02-07T05:12:50.000000Z|2018-02-07T05:17:19.990000Z
2A|BBS09||HHE|M|100.0|2018-02-07T05:26:46.000000Z|2018-02-07T05:30:56.990000Z
2A|BBS09||HHE|M|100.0|2018-02-07T05:31:23.000000Z|2018-02-23T05:56:02.990000Z
2A|BBS09||HHE|M|100.0|2018-02-23T05:56:58.000000Z|2018-02-23T06:00:53.990000Z
2A|BBS09||HHE|M|100.0|2018-02-23T06:01:10.000000Z|2018-02-23T06:55:48.990000Z
2A|BBS09||HHE|M|100.0|2018-02-23T06:57:02.000000Z|2018-02-23T23:07:00.990000Z
2A|BBS09||HHE|M|100.0|2018-02-23T23:12:55.000000Z|2018-02-23T23:18:59.990000Z
2A|BBS09||HHE|M|100.0|2018-02-23T23:19:04.000000Z|2018-02-24T21:42:45.990000Z
2A|BBS09||HHE|M|100.0|2018-02-24T23:16:13.000000Z|2018-02-24T23:19:55.990000Z
2A|BBS09||HHE|M|100.0|2018-02-24T23:20:01.000000Z|2018-02-24T23:26:17.990000Z
2A|BBS09||HHE|M|100.0|2018-02-24T23:51:42.000000Z|2018-02-24T23:55:59.990000Z
2A|BBS09||HHE|M|100.0|2018-02-24T23:56:02.000000Z|2018-02-25T00:18:57.990000Z
2A|BBS09||HHN|M|100.0|2018-01-05T06:06:45.000000Z|2018-01-22T12:00:00.990000Z
2A|BBS09||HHN|M|100.0|2018-02-07T05:12:50.000000Z|2018-02-07T05:17:19.990000Z
2A|BBS09||HHN|M|100.0|2018-02-07T05:26:46.000000Z|2018-02-07T05:30:56.990000Z
2A|BBS09||HHN|M|100.0|2018-02-07T05:31:23.000000Z|2018-02-23T05:56:02.990000Z
2A|BBS09||HHN|M|100.0|2018-02-23T05:56:58.000000Z|2018-02-23T06:00:54.990000Z
2A|BBS09||HHN|M|100.0|2018-02-23T06:01:10.000000Z|2018-02-23T06:55:54.990000Z
2A|BBS09||HHN|M|100.0|2018-02-23T06:57:02.000000Z|2018-02-23T23:06:54.990000Z
2A|BBS09||HHN|M|100.0|2018-02-23T23:12:57.000000Z|2018-02-23T23:18:56.990000Z
2A|BBS09||HHN|M|100.0|2018-02-23T23:19:01.000000Z|2018-02-24T21:42:42.990000Z
2A|BBS09||HHN|M|100.0|2018-02-24T23:16:13.000000Z|2018-02-24T23:19:55.990000Z
2A|BBS09||HHN|M|100.0|2018-02-24T23:20:01.000000Z|2018-02-24T23:26:15.990000Z
2A|BBS09||HHN|M|100.0|2018-02-24T23:51:42.000000Z|2018-02-24T23:56:01.990000Z
2A|BBS09||HHN|M|100.0|2018-02-24T23:56:04.000000Z|2018-02-25T00:18:57.990000Z
2A|BBS09||HHZ|M|100.0|2018-01-05T06:06:45.000000Z|2018-01-22T06:00:01.990000Z
2A|BBS09||HHZ|M|100.0|2018-02-07T05:12:50.000000Z|2018-02-07T05:17:26.990000Z
2A|BBS09||HHZ|M|100.0|2018-02-07T05:26:42.000000Z|2018-02-07T05:30:56.990000Z
2A|BBS09||HHZ|M|100.0|2018-02-07T05:31:23.000000Z|2018-02-23T05:55:59.990000Z
2A|BBS09||HHZ|M|100.0|2018-02-23T05:57:04.000000Z|2018-02-23T06:00:52.990000Z
2A|BBS09||HHZ|M|100.0|2018-02-23T06:01:10.000000Z|2018-02-23T06:55:57.990000Z
2A|BBS09||HHZ|M|100.0|2018-02-23T06:57:03.000000Z|2018-02-23T23:07:02.990000Z
2A|BBS09||HHZ|M|100.0|2018-02-23T23:12:54.000000Z|2018-02-23T23:18:59.990000Z
