,event_id,arrival,group
0,20180108T000003Z,569,9
1,20180108T000015Z,569,2
2,20180108T000030Z,965,2
3,20180108T000104Z,569,9
4,20180108T000126Z,596,9
5,20180108T000218Z,695,9
6,20180108T000319Z,965,1
7,20180108T000403Z,965,8
8,20180108T000439Z,695,9
9,20180108T000456Z,U,10
10,20180108T000529Z,695,3
11,20180108T000712Z,965,1
12,20180108T000722Z,569,4
13,20180108T000834Z,U,10
14,20180108T000857Z,965,5
15,20180108T000956Z,569,7
16,20180108T001005Z,695,2
17,20180108T001107Z,596,9
18,20180108T001126Z,659,9
19,20180108T001210Z,695,8
20,20180108T001242Z,596,1
21,20180108T001249Z,695,1
22,20180108T001327Z,596,1
23,20180108T001440Z,569,9
24,20180108T001456Z,695,3
25,20180108T001502Z,695,9
26,20180108T001525Z,569,9
27,20180108T001549Z,659,9
28,20180108T001612Z,569,9
29,20180108T001710Z,569,1
30,20180108T001730Z,569,1
31,20180108T001832Z,659,4
32,20180108T001839Z,596,4
33,20180108T001847Z,596,9
34,20180108T001908Z,569,9
35,20180108T001927Z,596,7
36,20180108T002011Z,596,9
37,20180108T002112Z,569,1
38,20180108T002127Z,569,3
39,20180108T002242Z,659,9
40,20180108T002402Z,569,1
41,20180108T002439Z,956,8
42,20180108T002514Z,659,1
43,20180108T002526Z,695,9
44,20180108T002557Z,659,2
45,20180108T002653Z,956,9
46,20180108T002743Z,569,7
47,20180108T002817Z,659,5
48,20180108T002843Z,695,4
49,20180108T002904Z,569,1
50,20180108T002938Z,u,10
51,20180108T003015Z,596,1
52,20180108T003236Z,956,9
53,20180108T003342Z,956,1
54,20180108T003415Z,569,9
55,20180108T003426Z,659,9
56,20180108T003454Z,965,5
57,20180108T003624Z,569,8
58,20180108T003641Z,659,1
59,20180108T003711Z,659,9
60,20180108T003751Z,659,4
61,20180108T003814Z,569,7
62,20180108T003935Z,695,4
63,20180108T004002Z,659,1
64,20180108T004030Z,695,9
65,20180108T004104Z,695,5
66,20180108T004232Z,695,1
67,20180108T004610Z,569,9
68,20180108T004849Z,659,2
69,20180108T004911Z,695,4
70,20180108T004949Z,965,5
71,20180108T005240Z,596,1
72,20180108T005309Z,965,4
73,20180108T005318Z,956,6
74,20180108T005554Z,569,9
75,20180108T005743Z,965,2
76,20180108T005758Z,965,9
77,20180108T005814Z,569,2
78,20180108T005831Z,695,9
79,20180108T005917Z,569,1
80,20180108T010005Z,596,1
81,20180108T010017Z,965,1
82,20180108T010024Z,659,8
83,20180108T010129Z,956,6
84,20180108T010159Z,569,9
85,20180108T010230Z,659,4
86,20180108T010421Z,596,9
87,20180108T010444Z,956,9
88,20180108T010459Z,965,4
89,20180108T010715Z,965,8
90,20180108T010747Z,965,1
91,20180108T010821Z,695,9
92,20180108T010844Z,659,9
93,20180108T010933Z,965,1
94,20180108T011000Z,965,9
95,20180108T011156Z,956,9
96,20180108T011218Z,695,4
97,20180108T011320Z,695,9
98,20180108T011401Z,569,1
99,20180108T011458Z,965,9
100,20180108T011521Z,965,9
101,20180108T011620Z,596,4
102,20180108T011727Z,659,5
103,20180108T011744Z,596,9
104,20180108T011909Z,U,10
105,20180108T012013Z,956,2
106,20180108T012052Z,596,9
107,20180108T012059Z,659,1
108,20180108T012115Z,965,1
109,20180108T012122Z,569,4
110,20180108T012155Z,569,9
111,20180108T012310Z,659,1
112,20180108T012337Z,956,6
113,20180108T012428Z,569,7
114,20180108T012440Z,569,1
115,20180108T012547Z,695,3
116,20180108T012624Z,965,8
117,20180108T012652Z,659,9
118,20180108T012715Z,965,9
119,20180108T012838Z,659,1
120,20180108T012913Z,596,10
121,20180108T013024Z,659,4
122,20180108T013054Z,695,9
123,20180108T013352Z,596,9
124,20180108T013417Z,695,3
125,20180108T013511Z,965,8
126,20180108T013611Z,U,10
127,20180108T013653Z,596,8
128,20180108T013714Z,695,9
129,20180108T013722Z,695,4
130,20180108T014122Z,965,5
131,20180108T014221Z,695,4
132,20180108T014254Z,659,9
133,20180108T014322Z,659,5
134,20180108T014441Z,596,9
135,20180108T014515Z,965,2
136,20180108T014535Z,695,9
137,20180108T014609Z,659,9
138,20180108T014708Z,659,5
139,20180108T014729Z,695,9
140,20180108T014750Z,695,9
141,20180108T014759Z,569,7
142,20180108T014827Z,695,3
143,20180108T014838Z,569,9
144,20180108T014910Z,569,1
145,20180108T014929Z,659,9
146,20180108T015005Z,965,8
147,20180108T015239Z,965,5
148,20180108T015259Z,569,8
149,20180108T015420Z,965,9
150,20180108T015454Z,569,7
151,20180108T015745Z,956,9
152,20180108T015751Z,569,4
153,20180108T015824Z,569,6
154,20180108T020036Z,965,9
155,20180108T020121Z,659,5
156,20180108T020141Z,U,10
157,20180108T020147Z,569,9
158,20180108T020215Z,U,10
159,20180108T020345Z,659,1
160,20180108T020400Z,965,9
161,20180108T020408Z,956,6
162,20180108T020435Z,965,9
163,20180108T020453Z,956,1
164,20180108T020530Z,U,10
165,20180108T020539Z,569,9
166,20180108T020547Z,695,9
167,20180108T020608Z,596,7
168,20180108T020620Z,956,9
169,20180108T020647Z,695,8
170,20180108T020717Z,569,8
171,20180108T020737Z,965,5
172,20180108T020756Z,965,9
173,20180108T020826Z,596,6
174,20180108T020855Z,659,9
175,20180108T020921Z,596,9
176,20180108T021015Z,695,2
177,20180108T021114Z,659,5
178,20180108T021142Z,695,4
179,20180108T021155Z,659,5
180,20180108T021255Z,695,9
181,20180108T021334Z,695,1
182,20180108T021344Z,596,6
183,20180108T021458Z,659,1
184,20180108T021511Z,659,9
185,20180108T021526Z,596,9
186,20180108T021558Z,695,2
187,20180108T021639Z,695,9
188,20180108T021702Z,695,9
189,20180108T021720Z,695,9
190,20180108T021755Z,569,9
191,20180108T021820Z,695,1
192,20180108T021854Z,569,9
193,20180108T022050Z,596,9
194,20180108T022126Z,569,9
195,20180108T022145Z,659,1
196,20180108T022302Z,956,7
197,20180108T022322Z,956,8
198,20180108T022336Z,569,9
199,20180108T022412Z,U,10
200,20180108T022431Z,956,6
201,20180108T022517Z,596,9
202,20180108T022728Z,965,9
203,20180108T022837Z,659,9
204,20180108T022900Z,U,10
205,20180108T022914Z,596,9
206,20180108T023018Z,596,2
207,20180108T023115Z,569,9
208,20180108T023213Z,695,9
209,20180108T023247Z,956,9
210,20180108T023255Z,569,9
211,20180108T023335Z,569,1
212,20180108T023353Z,569,9
213,20180108T023419Z,695,1
214,20180108T023534Z,596,1
215,20180108T023541Z,956,9
216,20180108T023553Z,596,1
217,20180108T023645Z,965,9
218,20180108T023713Z,596,9
219,20180108T023821Z,569,9
220,20180108T023843Z,569,2
221,20180108T023903Z,569,9
222,20180108T023943Z,956,6
223,20180108T024036Z,695,9
224,20180108T024305Z,569,9
225,20180108T024435Z,965,5
226,20180108T024459Z,965,9
227,20180108T024532Z,965,1
228,20180108T024634Z,695,6
229,20180108T024847Z,965,4
230,20180108T025001Z,659,9
231,20180108T025017Z,956,9
232,20180108T025047Z,965,5
233,20180108T025102Z,695,5
234,20180108T025134Z,965,9
235,20180108T025203Z,695,9
236,20180108T025309Z,965,9
237,20180108T025336Z,695,8
238,20180108T025431Z,569,9
239,20180108T025614Z,596,4
240,20180108T025625Z,965,9
241,20180108T025718Z,659,8
242,20180108T025825Z,965,4
243,20180108T025942Z,695,4
