,event_id,group,similarity
0,20180103T000143Z,8d,0.7250458712785691
1,20180103T000744Z,4b,0.8236197031619094
2,20180103T001135Z,2c,0.8345176848447713
3,20180103T001421Z,2c,0.838149152248306
4,20180103T001613Z,2a,0.8644526982288246
5,20180103T002311Z,7d,0.7000683001820076
6,20180103T002626Z,2a,0.839080087423364
7,20180103T003104Z,7d,0.710009730591762
8,20180103T003634Z,1c,0.9269753362033843
9,20180103T004248Z,7b,0.7092944291996397
10,20180103T004356Z,2c,0.8086308962805133
11,20180103T004448Z,2a,0.8656072349777643
12,20180103T004634Z,8d,0.7011011549113025
13,20180103T010759Z,2d,0.8761260619700039
14,20180103T011319Z,2a,0.8217060117652863
15,20180103T011529Z,7a,0.705764754774113
16,20180103T011623Z,1c,0.9104097305562875
17,20180103T011844Z,1c,0.9277151826965759
18,20180103T011952Z,8b,0.707092755915474
19,20180103T012715Z,1c,0.9521158687141336
20,20180103T013119Z,2c,0.8289496223420287
21,20180103T013210Z,2c,0.8069464311551241
22,20180103T014020Z,2a,0.8326880297802098
23,20180103T014206Z,4b,0.8271321483448206
24,20180103T014944Z,7b,0.7106312378834716
25,20180103T015804Z,7d,0.7175852063582738
26,20180103T020441Z,7b,0.7334384664348363
27,20180103T020649Z,2c,0.8019414596545821
28,20180103T020713Z,2c,0.8177003629198111
29,20180103T021331Z,2c,0.8228484420978216
30,20180103T021659Z,8d,0.7138103795567343
31,20180103T022209Z,7b,0.7285502954713234
32,20180103T022912Z,7d,0.7810932858374217
33,20180103T023054Z,6a,0.8241398055333138
34,20180103T024024Z,2a,0.8172987438547261
35,20180103T025021Z,1c,0.9048213614566838
36,20180103T025114Z,7d,0.7477461029400096
37,20180103T030358Z,4c,0.8153939727103221
38,20180103T030411Z,8d,0.7097797891400309
39,20180103T030449Z,2b,0.8130543252574141
40,20180103T030754Z,6a,0.8488485304859352
41,20180103T030957Z,2d,0.8410712161094914
42,20180103T031250Z,2a,0.8406735430013588
43,20180103T031705Z,6a,0.8133824460473443
44,20180103T031832Z,2c,0.8462450173581362
45,20180103T032427Z,2c,0.8110137951286522
46,20180103T032718Z,3b,0.9435385903195851
47,20180103T033029Z,6c,0.8521902123520495
48,20180103T033411Z,2a,0.847544121469061
49,20180103T033558Z,1c,0.9233017725594678
50,20180103T033703Z,1c,0.9422947675119716
51,20180103T034215Z,6b,0.8352177898504055
52,20180103T034842Z,1c,0.9482420558370969
53,20180103T035056Z,1c,0.936479118727463
54,20180103T035447Z,7d,0.776278771146974
55,20180103T035556Z,2a,0.8175501261718858
56,20180103T040933Z,3d,0.7103580104984087
57,20180103T041003Z,6a,0.864473537161297
58,20180103T041553Z,2d,0.8924301679653268
59,20180103T041844Z,6c,0.8601898369801332
60,20180103T041946Z,2b,0.8867988307488918
61,20180103T042621Z,3d,0.7467609559966166
62,20180103T042716Z,2c,0.8565084132286159
63,20180103T042811Z,6a,0.8060474955546171
64,20180103T042910Z,1c,0.901402671810988
65,20180103T043003Z,6c,0.808363158191917
66,20180103T043422Z,2c,0.8518833349553341
67,20180103T044956Z,4b,0.811082482767115
68,20180103T045049Z,1a,0.9260484679150582
69,20180103T045650Z,7a,0.7211080310530015
70,20180103T050247Z,4b,0.8175333531161714
71,20180103T051802Z,8c,0.7082447533666908
72,20180103T052006Z,3b,0.8647258038405295
73,20180103T052434Z,5c,0.8133938336859678
74,20180103T053535Z,7d,0.729816172306211
75,20180103T054353Z,1c,0.9247006966811551
76,20180103T054554Z,2a,0.8163144774182048
77,20180103T054721Z,2d,0.8103079000694938
78,20180103T055558Z,3d,0.7139792226928985
79,20180103T055932Z,2c,0.8156689247190847
