,event_id,stations,ref_time,ref_duration,group
0,20180208T000242Z,"['2A.BBS05.', '2A.BBS06.']",2018-02-08T00:02:42.660000Z,0.821989,3c
1,20180208T000734Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-08T00:07:34.030000Z,14.651988,4b
2,20180208T001100Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-02-08T00:11:00.250000Z,7.461988,5c
3,20180208T001116Z,"['2A.BBS05.', '2A.BBS06.']",2018-02-08T00:11:16.730000Z,0.821989,3c
4,20180208T001314Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-08T00:13:14.060000Z,3.451988,8c
5,20180208T002952Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-08T00:29:52.420000Z,3.051989,2c
6,20180208T003007Z,"['2A.BBS05.', '2A.BBS06.']",2018-02-08T00:30:07.340000Z,0.821989,3c
7,20180208T003231Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-08T00:32:31.620000Z,5.901988,6a
8,20180208T004002Z,"['2A.BBS05.', '2A.BBS06.']",2018-02-08T00:40:02.150000Z,0.821989,3c
9,20180208T004056Z,"['2A.BBS05.', '2A.BBS06.']",2018-02-08T00:40:56.730000Z,0.821989,3c
10,20180208T004236Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-08T00:42:36.860000Z,7.541989,8d
11,20180208T004529Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-08T00:45:29.170000Z,3.511988,3d
12,20180208T004601Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-08T00:46:01.000000Z,3.511988,3d
13,20180208T004714Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-08T00:47:14.590000Z,3.511988,3d
14,20180208T004833Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-08T00:48:33.080000Z,3.511988,3d
15,20180208T005025Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-02-08T00:50:25.530000Z,7.461988,5c
16,20180208T005826Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-08T00:58:26.260000Z,14.651988,4b
17,20180208T010644Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-02-08T01:06:44.630000Z,6.471988,2a
18,20180208T010703Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-02-08T01:07:03.130000Z,6.471988,2a
19,20180208T010734Z,"['2A.BBS05.', '2A.BBS06.']",2018-02-08T01:07:34.450000Z,0.821989,3c
20,20180208T010940Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-08T01:09:40.040000Z,3.511988,3d
21,20180208T011047Z,"['2A.BBS06.', '2A.BBS09.']",2018-02-08T01:10:47.500000Z,1.051989,3b
22,20180208T011911Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-08T01:19:11.030000Z,14.651988,4b
23,20180208T012456Z,"['2A.BBS06.', '2A.BBS09.']",2018-02-08T01:24:56.160000Z,1.051989,3b
24,20180208T012519Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-02-08T01:25:19.600000Z,7.461988,5c
25,20180208T013648Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-08T01:36:48.940000Z,3.511988,3d
26,20180208T013952Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-02-08T01:39:52.050000Z,1.611988,1a
27,20180208T015301Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-08T01:53:01.690000Z,8.961989,1c
28,20180208T015321Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-08T01:53:21.280000Z,8.961989,1c
29,20180208T015618Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-08T01:56:18.480000Z,14.651988,4b
30,20180208T015735Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-08T01:57:35.160000Z,14.651988,4b
31,20180208T021119Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-08T02:11:19.350000Z,3.511988,3d
