,event_id,group,similarity
0,20180115T000005Z,6a,0.7550984330788167
1,20180115T000018Z,1d,0.895852117416543
2,20180115T000051Z,1c,0.8918892700117343
3,20180115T000149Z,6a,0.7757266872187223
4,20180115T000323Z,2c,0.7685710812205291
5,20180115T000509Z,2b,0.7730911675563125
6,20180115T000527Z,1b,0.8115608362853122
7,20180115T000612Z,8d,0.6681261724665628
8,20180115T000712Z,1d,0.871980759707964
9,20180115T000802Z,6b,0.8811811422420378
10,20180115T001100Z,2c,0.7872569440890351
11,20180115T001120Z,1a,0.8129609074415048
12,20180115T001139Z,4b,0.83752815902558
13,20180115T001204Z,8c,0.6773554551723996
14,20180115T001312Z,1c,0.8265970298571067
15,20180115T001413Z,1c,0.8403576977315353
16,20180115T001518Z,6a,0.7737608580824136
17,20180115T001544Z,1c,0.9081057996643203
18,20180115T001653Z,1c,0.8518834735100604
19,20180115T001732Z,2a,0.7733071846069943
20,20180115T001755Z,6c,0.7992697315081834
21,20180115T001812Z,1c,0.8839187139120995
22,20180115T001835Z,2d,0.8077462475031648
23,20180115T001943Z,1d,0.8287542751482924
24,20180115T002031Z,1c,0.8030612125350005
25,20180115T002049Z,1d,0.8763535552754028
26,20180115T002109Z,1d,0.814240965226711
27,20180115T002141Z,1d,0.8390890314359584
28,20180115T002221Z,2c,0.7794953251156659
29,20180115T002418Z,2a,0.7604501716392839
30,20180115T002440Z,6a,0.8242986707152599
31,20180115T002451Z,6a,0.843791635406646
32,20180115T002512Z,2a,0.7631710195473913
33,20180115T002612Z,1b,0.8975842362450057
34,20180115T002844Z,6a,0.755333369913407
35,20180115T002901Z,5c,0.8237545799314032
36,20180115T002914Z,1b,0.8979763439948719
37,20180115T002940Z,5b,0.7793204304882246
38,20180115T003022Z,1a,0.8308320446641297
39,20180115T003158Z,2c,0.7528120126211181
40,20180115T003219Z,5b,0.7534830747727034
41,20180115T003247Z,6b,0.781062150990722
42,20180115T003302Z,1d,0.868455707621371
43,20180115T003319Z,8c,0.6617114392295118
44,20180115T003332Z,6a,0.7926666570621695
45,20180115T003409Z,1d,0.8459396372109985
46,20180115T003530Z,1d,0.8968566383079668
47,20180115T003549Z,1c,0.8275925365689658
48,20180115T003642Z,1a,0.8022500730493514
49,20180115T003800Z,2c,0.7956862353128963
50,20180115T003840Z,1d,0.816599551840043
51,20180115T003903Z,1c,0.8575434566014969
52,20180115T003951Z,1a,0.8291053637213859
53,20180115T004008Z,3b,0.6733477448987262
54,20180115T004030Z,1a,0.8209755563491463
55,20180115T004042Z,2a,0.7559340563043098
56,20180115T004324Z,7d,0.6982041368446686
57,20180115T004349Z,1c,0.837684260357902
58,20180115T004555Z,6a,0.7789780332704754
59,20180115T004614Z,8c,0.7675399482568787
60,20180115T004735Z,3d,0.6682102001211904
61,20180115T004810Z,1b,0.8395387200410628
62,20180115T004825Z,1d,0.8029975740093493
63,20180115T004919Z,2c,0.7661379822608778
64,20180115T004941Z,3d,0.7272372730219467
65,20180115T005013Z,1d,0.8419311393399433
66,20180115T005042Z,1c,0.8478737924794203
67,20180115T005104Z,1c,0.8106052890276189
68,20180115T005124Z,7d,0.6736252939307656
69,20180115T005223Z,8b,0.6515738714220097
70,20180115T005341Z,5c,0.7740909257959303
71,20180115T005359Z,2c,0.8227297937812192
72,20180115T005439Z,4b,0.7522190114789219
73,20180115T005517Z,8c,0.7574308976440391
74,20180115T005529Z,1d,0.8206599289601803
75,20180115T005610Z,3c,0.663971821733226
76,20180115T005641Z,3d,0.6570663724103406
77,20180115T005823Z,6a,0.8502111949948494
78,20180115T005835Z,5a,0.7911648013175473
79,20180115T005851Z,2c,0.7764749025803267
80,20180115T005925Z,7d,0.6529340191093825
81,20180115T005952Z,5c,0.8167608226620335
82,20180115T010036Z,1c,0.9217977047476217
83,20180115T010256Z,2a,0.8002537785184043
84,20180115T010403Z,2c,0.7508708412701014
85,20180115T010540Z,5b,0.7562408525510086
86,20180115T010616Z,7c,0.6524203847972658
87,20180115T010723Z,1c,0.8470370711202553
88,20180115T010815Z,7d,0.680182731609321
89,20180115T010935Z,2c,0.7793010397600251
90,20180115T010951Z,6d,0.8083261342198986
91,20180115T011127Z,1d,0.8238074010779759
92,20180115T011142Z,6a,0.779043378226275
93,20180115T011232Z,1b,0.8617822431250962
94,20180115T011301Z,2a,0.7511890874503807
95,20180115T011402Z,1b,0.849738310706898
96,20180115T011541Z,2c,0.7574907570250105
97,20180115T011654Z,1c,0.8161018628355663
98,20180115T011711Z,7b,0.6947079980762433
99,20180115T011753Z,2a,0.7966154965039919
100,20180115T011825Z,2a,0.8701019040685397
101,20180115T011909Z,1a,0.843633875641935
102,20180115T011937Z,1c,0.8512775781914778
103,20180115T012106Z,1c,0.8512154970276177
104,20180115T012259Z,1b,0.8956270060979071
105,20180115T012442Z,1a,0.8196100222783874
106,20180115T012807Z,1c,0.8125723224785231
107,20180115T012834Z,8a,0.6608221707622753
108,20180115T013031Z,2b,0.755640306386356
109,20180115T013147Z,1c,0.853913813077279
110,20180115T013225Z,1c,0.9219013615044452
111,20180115T013436Z,1c,0.8493095668302537
112,20180115T013451Z,3b,0.660029809991906
113,20180115T013531Z,2c,0.7778849286651581
114,20180115T013838Z,2c,0.7619062375585016
115,20180115T013908Z,2a,0.7948707220170506
116,20180115T014137Z,1d,0.8206086179454948
117,20180115T014148Z,3b,0.6778034335894826
118,20180115T014347Z,4b,0.8475073255040987
119,20180115T014649Z,7d,0.6903977172001011
120,20180115T014732Z,6d,0.8333721286023719
121,20180115T014747Z,1d,0.8124207989024169
122,20180115T014859Z,1a,0.8546266779585615
123,20180115T014929Z,1a,0.8141742350557988
124,20180115T015024Z,2c,0.7997818278382479
125,20180115T015132Z,1b,0.8337181273242248
126,20180115T015221Z,1c,0.8108498270775545
127,20180115T015300Z,2a,0.7665441684945636
128,20180115T015404Z,8c,0.674975118566538
129,20180115T015427Z,1a,0.8722056346246607
130,20180115T015529Z,7c,0.6579636579007554
131,20180115T015540Z,1b,0.800872690074837
132,20180115T015705Z,7b,0.697403679664869
133,20180115T020108Z,6d,0.8209840734282758
134,20180115T020124Z,2c,0.83865375340238
135,20180115T020157Z,7b,0.6788316884354306
136,20180115T020209Z,6a,0.7891827771005903
137,20180115T020334Z,2d,0.849466277706235
138,20180115T020357Z,1c,0.9230599614206038
139,20180115T020612Z,2c,0.7937274871296747
140,20180115T020725Z,7b,0.7211410946347186
141,20180115T020824Z,3d,0.6908517721753263
142,20180115T020935Z,1d,0.8133935709248007
143,20180115T021137Z,1c,0.8072805246056198
144,20180115T021217Z,1d,0.8204079428212292
145,20180115T021247Z,1d,0.8131195734505671
146,20180115T021359Z,8d,0.6779384607027918
147,20180115T021448Z,6a,0.7581609009436574
148,20180115T021535Z,1c,0.8334682861759929
149,20180115T021722Z,3d,0.7111129444405898
150,20180115T021735Z,2c,0.7973753910155741
151,20180115T021832Z,8b,0.668439913454153
152,20180115T021902Z,8d,0.7270511845946429
153,20180115T022012Z,1c,0.9019156082126535
154,20180115T022157Z,6c,0.7735423953303835
155,20180115T022233Z,7b,0.6970588151686239
156,20180115T022342Z,8c,0.6528613970698481
157,20180115T022401Z,2c,0.831268602491098
158,20180115T022415Z,1c,0.8509837753931339
159,20180115T022430Z,2d,0.812878859223481
160,20180115T022625Z,1d,0.9057398249366672
161,20180115T022701Z,5c,0.7928492342695529
162,20180115T022726Z,6a,0.7906944401058678
163,20180115T022739Z,6c,0.7884904638472054
164,20180115T022753Z,1d,0.8496998786156263
165,20180115T022827Z,2a,0.8622694157843573
166,20180115T022941Z,2c,0.7627534652422946
167,20180115T023006Z,8d,0.8043051751506578
168,20180115T023115Z,1d,0.8838276866256604
169,20180115T023148Z,6c,0.7562499011018586
170,20180115T023256Z,1d,0.8475736515320421
171,20180115T023332Z,2a,0.7924877773872687
172,20180115T023412Z,8d,0.6564413199384164
173,20180115T023452Z,4d,0.7780568857493736
174,20180115T023545Z,1b,0.8885476098194803
175,20180115T023715Z,1b,0.8562913944594164
176,20180115T023807Z,2c,0.7722546032575578
177,20180115T024116Z,1c,0.8467254733185169
178,20180115T024149Z,2a,0.7680861461627415
179,20180115T024224Z,2c,0.8106137801542588
180,20180115T024235Z,2c,0.8250529968268857
181,20180115T024253Z,2c,0.8066865312855793
182,20180115T024412Z,1b,0.8141256196958668
183,20180115T024514Z,2a,0.7716932309939066
184,20180115T024525Z,1b,0.8385189236266644
185,20180115T024610Z,3d,0.6751837322851476
186,20180115T024803Z,1c,0.9535787335171525
187,20180115T024815Z,8c,0.7187505540561315
188,20180115T024929Z,6b,0.7595128700916246
189,20180115T025138Z,2c,0.7836583211457873
190,20180115T025346Z,2a,0.877465677762947
191,20180115T025435Z,2c,0.8298126516733143
192,20180115T025506Z,2a,0.7707733623910027
193,20180115T025650Z,8c,0.7307604158280006
194,20180115T025741Z,6a,0.8304037329036712
195,20180115T025852Z,2c,0.798395855987469
196,20180115T025930Z,8d,0.7218468405808536
197,20180115T030052Z,3a,0.734771305259377
198,20180115T030111Z,1d,0.8193404288820807
199,20180115T030231Z,1c,0.8742002405064818
200,20180115T030434Z,3d,0.688150527663148
201,20180115T030634Z,1d,0.8556289343365271
202,20180115T031011Z,8c,0.6644151871182266
203,20180115T031027Z,4d,0.7706382502751905
204,20180115T031110Z,7b,0.6708468971322576
205,20180115T031200Z,1b,0.8199138066553449
206,20180115T031315Z,1d,0.836511040210257
207,20180115T031453Z,1d,0.8167529234180039
208,20180115T032109Z,3d,0.6541022478752168
209,20180115T032204Z,1c,0.9321048163584962
210,20180115T032250Z,6c,0.7557558624469507
211,20180115T032311Z,2c,0.7978662626677393
212,20180115T032614Z,4c,0.7698407885205159
213,20180115T032825Z,1c,0.8565048182036802
214,20180115T032946Z,6a,0.8376646655597189
215,20180115T033044Z,2c,0.8083779631256248
216,20180115T033258Z,8d,0.7045492229965719
217,20180115T033311Z,1c,0.824220874197838
218,20180115T033404Z,1d,0.819833119347416
219,20180115T033423Z,2a,0.8529918245719783
220,20180115T033516Z,1c,0.8215170702612236
221,20180115T033639Z,1d,0.8634390365890366
222,20180115T033746Z,1d,0.8325710309720413
223,20180115T033823Z,1c,0.8464206293441701
224,20180115T033859Z,2d,0.797719921730021
225,20180115T033913Z,6a,0.8092558190693893
226,20180115T033948Z,2c,0.8217747349652474
227,20180115T034423Z,2c,0.7994812548810212
228,20180115T034459Z,1c,0.8715360914184048
229,20180115T034902Z,2c,0.8345939866359902
230,20180115T034914Z,1a,0.891631626579491
231,20180115T035018Z,4d,0.7929299748164155
232,20180115T035049Z,2a,0.7883032515929934
233,20180115T035419Z,2d,0.8121372216505256
234,20180115T035513Z,2c,0.8126023493881205
235,20180115T035526Z,4a,0.7638299949466403
236,20180115T035553Z,2c,0.8041909542533948
237,20180115T035636Z,8d,0.6806457078876041
238,20180115T035650Z,2c,0.8132627856684196
239,20180115T035729Z,1c,0.8278327441541931
240,20180115T035802Z,8d,0.6793526278298224
241,20180115T035815Z,6a,0.8283381360999065
242,20180115T035839Z,2c,0.7628959984198885
