,event_id,stations,ref_time,ref_duration,group
0,20180107T000416Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-07T00:04:16.070000Z,8.961989,1c
1,20180107T000503Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-07T00:05:03.000000Z,2.031988,2b
2,20180107T000618Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-07T00:06:18.690000Z,8.961989,1c
3,20180107T001027Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-07T00:10:27.450000Z,7.541989,8d
4,20180107T001355Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-07T00:13:55.940000Z,3.051989,2c
5,20180107T001623Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-01-07T00:16:23.660000Z,6.471988,2a
6,20180107T001646Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-07T00:16:46.370000Z,2.661988,1d
7,20180107T001703Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-01-07T00:17:03.190000Z,2.571988,7d
8,20180107T001741Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-01-07T00:17:41.300000Z,2.661988,1d
9,20180107T001830Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-07T00:18:30.450000Z,8.961989,1c
10,20180107T001859Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-07T00:18:59.160000Z,3.051989,2c
11,20180107T001925Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-07T00:19:25.050000Z,8.961989,1c
12,20180107T001941Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-07T00:19:41.070000Z,8.961989,1c
13,20180107T002230Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-01-07T00:22:30.700000Z,0.891988,1b
14,20180107T002255Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-07T00:22:55.950000Z,8.961989,1c
15,20180107T002331Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-07T00:23:31.110000Z,14.651988,4b
16,20180107T002348Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-07T00:23:48.970000Z,8.961989,1c
17,20180107T002613Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-07T00:26:13.750000Z,8.961989,1c
18,20180107T002751Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-01-07T00:27:51.300000Z,14.651988,4b
19,20180107T002808Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-07T00:28:08.240000Z,3.051989,2c
20,20180107T002956Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-01-07T00:29:56.610000Z,0.891988,1b
21,20180107T003056Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-07T00:30:56.170000Z,8.961989,1c
22,20180107T003120Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-07T00:31:20.530000Z,8.961989,1c
23,20180107T003306Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-01-07T00:33:06.380000Z,8.961989,1c
