,event_id,group,similarity
0,20180120T000115Z,6c,0.761442129722286
1,20180120T000233Z,2c,0.7654796640342735
2,20180120T000429Z,1b,0.8460654812687978
3,20180120T000458Z,2b,0.8094266613516659
4,20180120T000511Z,1b,0.8866965370497792
5,20180120T000529Z,3d,0.6738726939164164
6,20180120T000545Z,1b,0.8607181207779274
7,20180120T000606Z,1a,0.8639458288426094
8,20180120T000627Z,1b,0.846002778825231
9,20180120T000652Z,1b,0.8442224603851102
10,20180120T000750Z,2d,0.8629130456390771
11,20180120T000814Z,1b,0.8225635181826082
12,20180120T000842Z,1a,0.8728077558606111
13,20180120T000909Z,5c,0.777563072233608
14,20180120T001017Z,2d,0.7882790706173011
15,20180120T001104Z,1d,0.8187901156842098
16,20180120T001149Z,6c,0.7749769908076022
17,20180120T001432Z,4b,0.7803486570112402
18,20180120T001456Z,2a,0.8435815249403913
19,20180120T001509Z,8d,0.6758547909001643
20,20180120T001525Z,1a,0.8764596358486758
21,20180120T001621Z,1d,0.8775399976292176
22,20180120T001832Z,7b,0.6516799540411344
23,20180120T001919Z,4d,0.7501284066254115
24,20180120T001939Z,1a,0.913289059504874
25,20180120T002146Z,1b,0.8288618424698355
26,20180120T002233Z,4d,0.7555087815043406
27,20180120T002303Z,4b,0.7771372079226704
28,20180120T002419Z,1b,0.8140478943059636
29,20180120T002445Z,4b,0.7957673332219576
30,20180120T002812Z,2c,0.8801453311171037
31,20180120T002830Z,1b,0.8896176512363747
32,20180120T003118Z,1c,0.8489977809063182
33,20180120T003134Z,5a,0.8022698948775099
34,20180120T003147Z,1b,0.8607308726677283
35,20180120T003228Z,5c,0.7680520116490079
36,20180120T003254Z,1a,0.8131874689736576
37,20180120T003309Z,6c,0.7816315589731042
38,20180120T003410Z,1a,0.8600814637006202
39,20180120T003537Z,1c,0.809587281552905
40,20180120T003600Z,2a,0.7718523522084381
41,20180120T003635Z,1a,0.8355878485697729
42,20180120T003742Z,1b,0.8635242135502379
43,20180120T003827Z,1c,0.8507754894225416
44,20180120T003850Z,1c,0.8626397912982856
45,20180120T003932Z,1b,0.8118455220840123
46,20180120T003953Z,1a,0.8836929528734436
47,20180120T004059Z,1c,0.912882441616404
48,20180120T004119Z,1b,0.8245096296715048
49,20180120T004257Z,1b,0.8065117683545557
50,20180120T004405Z,1c,0.9200232751021807
51,20180120T004432Z,1c,0.8348984844903953
52,20180120T004518Z,2a,0.7628665296240351
53,20180120T004554Z,1c,0.887240967581923
54,20180120T004607Z,1d,0.8009171123789792
55,20180120T004920Z,1c,0.8214243596234281
56,20180120T004943Z,4b,0.9040689946505295
57,20180120T004954Z,3d,0.6532143975115051
58,20180120T005024Z,6b,0.7528617959662576
59,20180120T005106Z,3c,0.6661420454228443
60,20180120T005136Z,2b,0.7944937392699882
61,20180120T005220Z,1c,0.8928670191790533
62,20180120T005449Z,1a,0.8579579800761296
63,20180120T005521Z,1c,0.9223545394048491
64,20180120T005617Z,1c,0.8784650775423334
65,20180120T005737Z,1c,0.8032067880905511
66,20180120T005821Z,3d,0.6599585864949723
67,20180120T005833Z,3d,0.7381640423392102
68,20180120T005845Z,2b,0.780008985903658
69,20180120T005909Z,4d,0.7577867868396266
70,20180120T005953Z,1c,0.8534797425681794
71,20180120T010030Z,3d,0.6665674773949413
72,20180120T010103Z,1c,0.8367174216988128
73,20180120T010127Z,1c,0.8582089237540141
74,20180120T010149Z,1c,0.8770313787107161
75,20180120T010242Z,1d,0.8991416721587829
76,20180120T010337Z,1d,0.8025975685870386
