,event_id,stations,ref_time,ref_duration,group
0,20180211T000111Z,"['2A.BBS06.', '2A.BBS09.']",2018-02-11T00:01:11.940000Z,1.051989,3b
1,20180211T000238Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-11T00:02:38.800000Z,3.511988,3d
2,20180211T000303Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-02-11T00:03:03.070000Z,6.471988,2a
3,20180211T000348Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-11T00:03:48.710000Z,5.841988,5b
4,20180211T000418Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-02-11T00:04:18.180000Z,6.471988,2a
5,20180211T000458Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-11T00:04:58.000000Z,8.961989,1c
6,20180211T000513Z,"['2A.BBS06.', '2A.BBS09.']",2018-02-11T00:05:13.970000Z,1.051989,3b
7,20180211T000651Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-11T00:06:51.970000Z,14.651988,4b
8,20180211T000827Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-02-11T00:08:27.400000Z,8.911989,4d
9,20180211T000948Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-02-11T00:09:48.750000Z,2.661988,1d
10,20180211T001016Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-11T00:10:16.640000Z,14.651988,4b
11,20180211T001440Z,"['2A.BBS06.', '2A.BBS09.']",2018-02-11T00:14:40.270000Z,1.051989,3b
12,20180211T001559Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-02-11T00:15:59.380000Z,1.611988,1a
13,20180211T001619Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-11T00:16:19.640000Z,8.961989,1c
14,20180211T001710Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-02-11T00:17:10.990000Z,18.921988,8b
15,20180211T001757Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-02-11T00:17:57.530000Z,7.461988,5c
16,20180211T001949Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-11T00:19:49.600000Z,2.031988,2b
17,20180211T002042Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-02-11T00:20:42.710000Z,4.501988,5a
18,20180211T002128Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-11T00:21:28.050000Z,5.901988,6a
19,20180211T002311Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-11T00:23:11.200000Z,14.651988,4b
20,20180211T002554Z,"['2A.BBS05.', '2A.BBS06.']",2018-02-11T00:25:54.600000Z,0.821989,3c
21,20180211T002652Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-02-11T00:26:52.460000Z,12.931988,3a
