event_id,amplitude,med_freq,duration,energy,mean_freq
20180214T000321Z,1.1648690461174617e-05,12.6953125,8.961989,1.3573489467359076e-12,14.297452588801036
20180214T000756Z,1.5027142941765441e-05,28.90625,1.051989,2.34015511778686e-12,28.03859895552971
20180214T001203Z,2.898977121703548e-05,23.2421875,0.821989,8.404525332015722e-12,22.346425062896152
20180214T001435Z,1.2640248039623936e-05,14.0625,3.051989,1.5982356329062262e-12,15.610871989102487
20180214T002124Z,7.217682947519507e-06,13.8671875,3.451988,5.213401207820939e-13,15.444588223171166
20180214T002250Z,1.4603887826617819e-05,3.90625,8.961989,2.5745781545884014e-12,4.106346362132207
20180214T002420Z,5.464968171811533e-06,9.765625,7.461988,2.990864678721374e-13,12.473758943729816
20180214T003226Z,1.5021588425269526e-05,12.890625,0.891988,2.2569263161955005e-12,14.555060917336517
20180214T003445Z,4.879850580987149e-05,22.0703125,3.511988,2.965883859325226e-11,22.73550984299107
20180214T003546Z,1.3209432763163325e-05,12.6953125,1.051989,1.7454857953182416e-12,14.385606084461593
20180214T004122Z,6.142128096114314e-06,9.5703125,2.661988,3.777762593033994e-13,12.128988095857023
20180214T004942Z,1.1404211018433272e-05,13.0859375,8.961989,1.3010136543435153e-12,14.976954750360504
20180214T005049Z,2.0747757761592443e-05,30.2734375,0.821989,4.305245497318371e-12,27.5045289497908
20180214T005447Z,6.167414116496578e-06,12.109375,3.051989,3.808097795562312e-13,14.058156061634568
20180214T005515Z,4.370051677706475e-05,24.0234375,3.511988,2.9224076618999497e-11,22.302714965600035
20180214T010210Z,1.5842903435754252e-05,3.515625,6.471988,2.809635412764488e-12,4.2696463747741715
20180214T011005Z,9.726080848710506e-06,3.3203125,6.471988,1.2693188509626565e-12,3.6725358635633003
20180214T011209Z,6.55726395162762e-06,11.5234375,3.511988,4.3045817434535563e-13,13.546910707410868
20180214T011546Z,1.82333375427873e-05,13.671875,1.611988,3.324971647555885e-12,15.298993894628012
20180214T011917Z,1.1827899482879795e-05,13.0859375,5.901988,1.3994051557794904e-12,15.034172286222049
20180214T013423Z,1.194315424782722e-05,14.0625,3.451988,1.427063238431346e-12,15.740195457352957
20180214T013747Z,6.758936734655034e-06,5.078125,3.051989,7.2491525469754e-13,5.848422702369786
20180214T015052Z,9.513592491276597e-06,13.0859375,3.451988,9.055845402154893e-13,15.021855193245198
20180214T015210Z,8.449066713096762e-06,13.8671875,2.661988,7.143265152398752e-13,15.407660706639824
20180214T015248Z,2.203767197820185e-05,13.8671875,3.511988,4.857135394649488e-12,15.456471193731415
20180214T020557Z,2.5382874115864284e-05,5.078125,8.961989,6.443376545182969e-12,6.526805094432989
20180214T021757Z,2.2460756921376056e-05,13.8671875,3.511988,5.045363294416927e-12,15.377804627714386
20180214T022025Z,2.040220382110265e-05,10.546875,7.461988,6.533804619094668e-12,11.181647249152192
20180214T022148Z,5.747894957684862e-06,4.8828125,5.761988,3.983384268066964e-13,4.5360486886957565
20180214T022300Z,1.5086563236334345e-05,12.5,10.731988,2.276551210395827e-12,14.364795934648058
20180214T022626Z,1.1886404172020011e-05,13.8671875,6.471988,1.4133418420971412e-12,15.53506842594763
20180214T022658Z,7.490622776212142e-06,13.8671875,3.051989,5.616276943631121e-13,15.435764313163759
20180214T022923Z,1.2625684892370316e-05,13.8671875,3.051989,1.594504458686582e-12,15.368729113081772
20180214T024009Z,1.32565874691217e-05,13.0859375,3.511988,1.757848932433505e-12,14.834279853712122
20180214T024400Z,1.0816856603616972e-05,12.890625,0.891988,1.1704605442616538e-12,14.696918797918048
20180214T024411Z,6.846159419739897e-06,13.28125,3.511988,4.691379906466799e-13,14.927241124067212
20180214T024441Z,8.404152796267368e-06,13.671875,7.541989,7.066980140413178e-13,15.378745175690081
20180214T024846Z,2.5729896598972943e-05,12.890625,3.511988,6.620893430229595e-12,14.751918422393828
20180214T025423Z,1.552329409347447e-05,13.671875,3.051989,2.4108540047781105e-12,15.218618654263807
20180214T025503Z,5.2372907904904055e-06,7.6171875,3.051989,2.7493322599658963e-13,11.03413175216822
20180214T025710Z,7.89603944827356e-06,10.7421875,5.901988,6.241381233076964e-13,13.020327006259716
20180214T030043Z,1.1531919291584403e-05,11.71875,8.961989,1.3330780935441412e-12,13.661954825119425
20180214T030137Z,3.5640572070088292e-06,3.3203125,3.051989,1.2858999536033926e-13,9.356439805999976
20180214T030359Z,1.3875020172753874e-05,13.8671875,6.471988,1.9255872655813747e-12,15.503616598684708
20180214T031454Z,1.1420079552350917e-05,6.4453125,1.611988,1.5886156746000387e-12,6.927190243052913
20180214T032341Z,1.712968875979269e-05,13.8671875,10.731988,2.9346990934004517e-12,15.512964283120725
20180214T032753Z,5.1868698821334425e-06,6.25,8.961989,2.694291405100973e-13,10.375647469988852
20180214T033558Z,1.04599426497187e-05,12.109375,5.901988,1.0946437278727882e-12,13.968187432736194
20180214T034449Z,1.0749656011353031e-05,11.5234375,3.511988,1.1560573160554718e-12,13.502296013839358
20180214T035105Z,1.381144239921986e-05,10.7421875,14.651988,1.9081337519150786e-12,12.613867685510044
20180214T040654Z,1.1806135552902372e-05,13.8671875,10.731988,1.3943081050912438e-12,15.56619552676646
20180214T041428Z,1.5497036110444466e-05,13.671875,3.051989,2.4020455193340023e-12,15.309905662560386
20180214T044321Z,6.1745545956457405e-06,12.109375,1.051989,3.8175093614015814e-13,14.173327426695707
20180214T044738Z,1.2791633225741927e-05,12.890625,2.921988,1.6366609113609932e-12,14.61644876430528
20180214T050352Z,9.0454066177233e-06,13.0859375,6.471988,8.186452588615239e-13,14.86900469334175
20180214T051310Z,7.964844225647479e-06,12.5,8.961989,6.348734566152509e-13,14.2592950258013
20180214T051419Z,1.5336282723458953e-05,13.671875,1.611988,2.3525002280977935e-12,15.273718410506465
20180214T052214Z,1.8285642136566253e-05,13.8671875,2.661988,3.344043151058627e-12,15.472153944164969
20180214T052916Z,6.025412303897242e-06,11.328125,3.511988,3.635601801109759e-13,13.350615572561633
20180214T054606Z,1.7221801328577122e-05,4.1015625,8.961989,3.4702475299959345e-12,4.233535032690951
20180214T061854Z,2.155853112841153e-05,13.8671875,1.611988,4.648185271518256e-12,15.50674390804113
20180214T063624Z,6.67181233902703e-06,9.9609375,8.961989,4.455243727333477e-13,12.440607206067408
20180214T064219Z,3.5935920882795767e-05,4.4921875,8.961989,1.8546791823119116e-11,5.372144729544466
20180214T064239Z,5.1270337233935386e-05,4.296875,8.961989,2.6286914845264835e-11,5.075698896080666
20180214T070652Z,4.294772413973394e-06,11.5234375,3.511988,1.8485930409566536e-13,13.709336507758922
20180214T071511Z,1.9873900753615042e-05,13.0859375,1.611988,3.9501114891736886e-12,14.893192256868762
20180214T073244Z,1.5158048414433913e-05,13.8671875,1.611988,2.298149034237615e-12,15.629485069866218
20180214T073752Z,2.194046417378352e-05,13.671875,10.731988,4.814207346501258e-12,15.234159399430245
20180214T074420Z,1.6525428280869853e-05,13.671875,6.471988,2.7313273873478023e-12,15.148759761297422
20180214T074600Z,1.716182716125933e-05,12.890625,3.511988,2.9456533269534653e-12,14.64985880328006
20180214T074704Z,9.77695426543479e-06,13.0859375,1.051989,9.565269648808637e-13,14.86704527926651
20180214T080612Z,1.4354617857154614e-05,13.0859375,14.651988,2.0610723735961767e-12,15.003969544450301
20180214T080638Z,8.577440829748054e-06,13.0859375,3.511988,7.361192149114368e-13,14.827214268724223
20180214T082503Z,4.703531818152562e-06,12.6953125,1.611988,2.2164167585437184e-13,14.368706091341563
20180214T084246Z,8.499405504358403e-06,11.328125,3.451988,7.229167233838006e-13,13.427090919708698
