,event_id,station,components,time,duration
0,20180113T000004Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:00:05.590000Z,2.05
1,20180113T000116Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:01:16.350000Z,2.65
2,20180113T000128Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:01:28.850000Z,0.8
3,20180113T000138Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:01:38.540000Z,1.9
4,20180113T000151Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:01:50.990000Z,2.27
5,20180113T000229Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:02:29.610000Z,1.1
6,20180113T000305Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:03:05.440000Z,0.36
7,20180113T000327Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:03:28.280000Z,2.24
8,20180113T000345Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:03:44.990000Z,7.1
9,20180113T000422Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:04:22.870000Z,0.57
10,20180113T000601Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:06:02.810000Z,30.88
11,20180113T000700Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:07:01.000000Z,0.63
12,20180113T000829Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:08:29.480000Z,0.99
13,20180113T000842Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:08:42.610000Z,6.86
14,20180113T000920Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:09:20.880000Z,0.3
15,20180113T001007Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:10:08.020000Z,9.45
16,20180113T001024Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:10:25.080000Z,9.75
17,20180113T001105Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:11:05.370000Z,0.87
18,20180113T001127Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:11:27.590000Z,0.19
19,20180113T001140Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:11:40.570000Z,3.85
20,20180113T001201Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:12:01.730000Z,13.84
21,20180113T001234Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:12:33.340000Z,3.0
22,20180113T001310Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:13:10.230000Z,1.24
23,20180113T001338Z,2A.BBS05.,"['HHE', 'HHN', 'HHZ']",2018-01-13T00:13:38.590000Z,0.83
