,Network,Station,Location,Channel,Start,End
0,2A,BBS05,,HHE,2018-01-01T00:00:00.000000Z,2018-01-02T00:00:00.000000Z
1,2A,BBS05,,HHN,2018-01-01T00:00:00.000000Z,2018-01-02T00:00:00.000000Z
2,2A,BBS05,,HHZ,2018-01-01T00:00:00.000000Z,2018-01-02T00:00:00.000000Z
3,2A,BBS06,,HHE,2018-01-01T00:00:00.000000Z,2018-01-02T00:00:00.000000Z
4,2A,BBS06,,HHN,2018-01-01T00:00:00.000000Z,2018-01-02T00:00:00.000000Z
5,2A,BBS06,,HHZ,2018-01-01T00:00:00.000000Z,2018-01-02T00:00:00.000000Z
6,2A,REF01,,GLE,2018-01-01T00:00:00.000000Z,2018-01-02T00:00:00.000000Z
7,2A,REF01,,GLN,2018-01-01T00:00:00.000000Z,2018-01-02T00:00:00.000000Z
8,2A,REF01,,GLZ,2018-01-01T00:00:00.000000Z,2018-01-02T00:00:00.000000Z
9,2A,REF02,,GLE,2018-01-01T00:00:00.000000Z,2018-01-02T00:00:00.000000Z
10,2A,REF02,,GLN,2018-01-01T00:00:00.000000Z,2018-01-02T00:00:00.000000Z
11,2A,REF02,,GLZ,2018-01-01T00:00:00.000000Z,2018-01-02T00:00:00.000000Z
12,2A,REF03,,GLE,2018-01-01T00:00:00.000000Z,2018-01-02T00:00:00.000000Z
13,2A,REF03,,GLN,2018-01-01T00:00:00.000000Z,2018-01-02T00:00:00.000000Z
14,2A,REF03,,GLZ,2018-01-01T00:00:00.000000Z,2018-01-02T00:00:00.000000Z
15,2A,REF04,,GLE,2018-01-01T00:00:00.000000Z,2018-01-02T00:00:00.000000Z
16,2A,REF04,,GLN,2018-01-01T00:00:00.000000Z,2018-01-02T00:00:00.000000Z
17,2A,REF04,,GLZ,2018-01-01T00:00:00.000000Z,2018-01-01T22:59:59.947000Z
18,2A,REF04,,GLZ,2018-01-01T23:00:00.000000Z,2018-01-02T00:00:00.000000Z
19,2A,BBS05,,HHE,2018-01-02T00:00:00.000000Z,2018-01-03T00:00:00.000000Z
20,2A,BBS05,,HHN,2018-01-02T00:00:00.000000Z,2018-01-03T00:00:00.000000Z
21,2A,BBS05,,HHZ,2018-01-02T00:00:00.000000Z,2018-01-03T00:00:00.000000Z
22,2A,BBS06,,HHE,2018-01-02T00:00:00.000000Z,2018-01-03T00:00:00.000000Z
23,2A,BBS06,,HHN,2018-01-02T00:00:00.000000Z,2018-01-03T00:00:00.000000Z
24,2A,BBS06,,HHZ,2018-01-02T00:00:00.000000Z,2018-01-03T00:00:00.000000Z
25,2A,REF01,,GLE,2018-01-02T00:00:00.000000Z,2018-01-03T00:00:00.000000Z
26,2A,REF01,,GLN,2018-01-02T00:00:00.000000Z,2018-01-02T07:59:59.977000Z
27,2A,REF01,,GLN,2018-01-02T08:00:00.000000Z,2018-01-03T00:00:00.000000Z
28,2A,REF01,,GLZ,2018-01-02T00:00:00.000000Z,2018-01-03T00:00:00.000000Z
29,2A,REF02,,GLE,2018-01-02T00:00:00.000000Z,2018-01-03T00:00:00.000000Z
30,2A,REF02,,GLN,2018-01-02T00:00:00.000000Z,2018-01-03T00:00:00.000000Z
31,2A,REF02,,GLZ,2018-01-02T00:00:00.000000Z,2018-01-03T00:00:00.000000Z
32,2A,REF03,,GLE,2018-01-02T00:00:00.000000Z,2018-01-03T00:00:00.000000Z
33,2A,REF03,,GLN,2018-01-02T00:00:00.000000Z,2018-01-03T00:00:00.000000Z
34,2A,REF03,,GLZ,2018-01-02T00:00:00.000000Z,2018-01-03T00:00:00.000000Z
35,2A,REF04,,GLE,2018-01-02T00:00:00.000000Z,2018-01-03T00:00:00.000000Z
36,2A,REF04,,GLN,2018-01-02T00:00:00.000000Z,2018-01-02T06:59:59.963000Z
37,2A,REF04,,GLN,2018-01-02T07:00:00.000000Z,2018-01-03T00:00:00.000000Z
38,2A,REF04,,GLZ,2018-01-02T00:00:00.000000Z,2018-01-03T00:00:00.000000Z
39,2A,REF07,,GLE,2018-01-02T05:27:08.000000Z,2018-01-03T00:00:00.000000Z
40,2A,REF07,,GLN,2018-01-02T05:27:08.000000Z,2018-01-03T00:00:00.000000Z
41,2A,REF07,,GLZ,2018-01-02T05:27:08.000000Z,2018-01-03T00:00:00.000000Z
42,2A,REF08,,GLE,2018-01-02T06:43:03.000000Z,2018-01-03T00:00:00.000000Z
